customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,AvgChargePerMonth,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Segment,CustomerId,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
7590-VHVEG,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,29.85,29.85,0.0,29.85,0,1,0,1,0,0,1,0,0,0,0,1,0,2.0,,,,,,,,,
5575-GNVDE,1.0,0.0,0.0,0.0,34.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,56.95,1889.5,0.0,55.5735294117647,1,0,0,1,0,0,0,1,0,0,0,0,1,0.0,,,,,,,,,
3668-QPYBK,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,53.85,108.15,1.0,54.075,1,0,0,1,0,0,1,0,0,0,0,0,1,0.0,,,,,,,,,
7795-CFOCW,1.0,0.0,0.0,0.0,45.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,42.3,1840.75,0.0,40.90555555555556,0,1,0,1,0,0,0,1,0,1,0,0,0,0.0,,,,,,,,,
9237-HQITU,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.7,151.65,1.0,75.825,1,0,0,0,1,0,1,0,0,0,0,1,0,3.0,,,,,,,,,
9305-CDSKC,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,99.65,820.5,1.0,102.5625,0,0,1,0,1,0,1,0,0,0,0,1,0,3.0,,,,,,,,,
1452-KIOVK,1.0,0.0,0.0,1.0,22.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,89.1,1949.4,0.0,88.60909090909091,0,0,1,0,1,0,1,0,0,0,1,0,0,3.0,,,,,,,,,
6713-OKOMC,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75,301.9,0.0,30.19,0,1,0,1,0,0,1,0,0,0,0,0,1,2.0,,,,,,,,,
7892-POOKP,0.0,0.0,1.0,0.0,28.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,104.8,3046.05,1.0,108.7875,0,0,1,0,1,0,1,0,0,0,0,1,0,1.0,,,,,,,,,
6388-TABGU,1.0,0.0,0.0,1.0,62.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,56.15,3487.95,0.0,56.25725806451613,1,0,0,1,0,0,0,1,0,1,0,0,0,0.0,,,,,,,,,
9763-GRSKD,1.0,0.0,1.0,1.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,49.95,587.45,0.0,45.18846153846154,1,0,0,1,0,0,1,0,0,0,0,0,1,0.0,,,,,,,,,
7469-LKBCI,1.0,0.0,0.0,0.0,16.0,1.0,,,,,,,0.0,18.95,326.8,0.0,20.425,1,0,0,0,0,1,0,0,1,0,1,0,0,2.0,,,,,,,,,
8091-TTVAX,1.0,0.0,1.0,0.0,58.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,100.35,5681.1,0.0,97.95,0,0,1,0,1,0,0,1,0,0,1,0,0,1.0,,,,,,,,,
